ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
AFG;Afghanistan;Asia;Southern Asia;Central Asia and Southern Asia;Least Developed;ROSA;SA;EMRO;Low Income;Low Income;South Asia
ALB;Albania;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
DZA;Algeria;Africa;Northern Africa;Western Asia and Northern Africa;Less Developed;MENA;MENA;AFRO;Upper Middle Income;Middle Income;Middle East & North Africa
AND;Andorra;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
AGO;Angola;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
AIA;Anguilla;Not Classified;Not Classified;Not Classified;Not Classified;LACRO;LAC;Not Classified;Not Classified;Not Classified;Not Classified
ATG;Antigua and Barbuda;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
ARG;Argentina;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
ARM;Armenia;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
AUS;Australia;Oceania;Australia/New Zealand;Australia and New Zealand;More Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
AUT;Austria;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
AZE;Azerbaijan;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
BHS;Bahamas;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
BHR;Bahrain;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;High Income;High Income;Middle East & North Africa
