Year,Country
1946,Bolivia (Plurinational State of)
1952,Bolivia (Plurinational State of)
1967,Bolivia (Plurinational State of)
1946,Cambodia
1947,Cambodia
1948,Cambodia
1949,Cambodia
1950,Cambodia
1951,Cambodia
1952,Cambodia
1953,Cambodia
1946,China
1947,China
1948,China
1949,China
1946,Greece
1947,Greece
1948,Greece
1949,Greece
1946,Indonesia
1947,Indonesia
1948,Indonesia
1949,Indonesia
1946,Iran (Islamic Republic of)
1966,Iran (Islamic Republic of)
1967,Iran (Islamic Republic of)
1968,Iran (Islamic Republic of)
1979,Iran (Islamic Republic of)
1980,Iran (Islamic Republic of)
1981,Iran (Islamic Republic of)
1982,Iran (Islamic Republic of)
1983,Iran (Islamic Republic of)
1984,Iran (Islamic Republic of)
1985,Iran (Islamic Republic of)
1986,Iran (Islamic Republic of)
1987,Iran (Islamic Republic of)
1988,Iran (Islamic Republic of)
1990,Iran (Islamic Republic of)
1993,Iran (Islamic Republic of)
1996,Iran (Islamic Republic of)
1946,State of Palestine
1946,Lao People's Democratic Republic
1947,Lao People's Democratic Republic
1948,Lao People's Democratic Republic
1949,Lao People's Democratic Republic
1950,Lao People's Democratic Republic
1951,Lao People's Democratic Republic
1952,Lao People's Democratic Republic
1953,Lao People's Democratic Republic
1946,Philippines
1947,Philippines
1948,Philippines
1949,Philippines
1950,Philippines
1951,Philippines
1952,Philippines
1953,Philippines
1954,Philippines
1972,Philippines
1973,Philippines
1974,Philippines
1975,Philippines
1976,Philippines
1977,Philippines
1978,Philippines
1979,Philippines
1980,Philippines
1981,Philippines
1982,Philippines
1983,Philippines
1984,Philippines
1985,Philippines
1986,Philippines
1987,Philippines
1988,Philippines
1989,Philippines
1990,Philippines
1991,Philippines
1992,Philippines
1993,Philippines
1994,Philippines
1995,Philippines
1997,Philippines
1999,Philippines
2000,Philippines
2001,Philippines
2002,Philippines
2003,Philippines
2005,Philippines
2004,Philippines
1969,Philippines
1970,Philippines
1971,Philippines
1946,Russian Federation
1947,Russian Federation
1948,Russian Federation
1949,Russian Federation
1950,Russian Federation
1946,Thailand
1946,Albania
1946,Viet Nam
1947,Viet Nam
1948,Viet Nam
1949,Viet Nam
1950,Viet Nam
1951,Viet Nam
1952,Viet Nam
1953,Viet Nam
1954,Viet Nam
1947,India
1948,India
1948,Pakistan
1964,India
1964,Pakistan
1965,India
1965,Pakistan
1971,India
1971,Pakistan
1971,Bangladesh
1984,India
1984,Pakistan
1987,India
1987,Pakistan
1989,India
1989,Pakistan
1990,India
1990,Pakistan
1991,India
1991,Pakistan
1992,India
1992,Pakistan
1996,India
1996,Pakistan
1997,India
1997,Pakistan
1998,India
1998,Pakistan
1999,India
1999,Pakistan
2000,India
2000,Pakistan
2001,India
2001,Pakistan
2002,India
2002,Pakistan
2003,India
2003,Pakistan
1947,Madagascar
1947,Paraguay
1954,Paraguay
1989,Paraguay
1948,Myanmar
1949,Myanmar
1950,Myanmar
1951,Myanmar
1952,Myanmar
1953,Myanmar
1954,Myanmar
1955,Myanmar
1956,Myanmar
1957,Myanmar
1958,Myanmar
1959,Myanmar
1960,Myanmar
1961,Myanmar
1962,Myanmar
1963,Myanmar
1964,Myanmar
1965,Myanmar
1966,Myanmar
1967,Myanmar
1968,Myanmar
1969,Myanmar
1970,Myanmar
1971,Myanmar
1972,Myanmar
1973,Myanmar
1974,Myanmar
1975,Myanmar
1976,Myanmar
1977,Myanmar
1978,Myanmar
1979,Myanmar
1980,Myanmar
1981,Myanmar
1982,Myanmar
1983,Myanmar
1984,Myanmar
1985,Myanmar
1986,Myanmar
1987,Myanmar
1988,Myanmar
1989,Myanmar
1990,Myanmar
1991,Myanmar
1992,Myanmar
1995,Myanmar
1997,Myanmar
1998,Myanmar
1999,Myanmar
2000,Myanmar
2001,Myanmar
2002,Myanmar
2003,Myanmar
2005,Myanmar
1994,Myanmar
1996,Myanmar
1948,Costa Rica
1949,India
1950,India
1951,India
1967,India
1968,India
1969,India
1970,India
1972,India
1993,India
1994,India
2005,India
2004,India
1948,Israel
1949,Israel
1948,Malaysia
1949,Malaysia
1950,Malaysia
1951,Malaysia
1952,Malaysia
1953,Malaysia
1954,Malaysia
1955,Malaysia
1956,Malaysia
1957,Malaysia
1948,Republic of Korea
1949,Republic of Korea
1950,Republic of Korea
1948,Yemen
1962,Yemen
1963,Yemen
1964,Yemen
1965,Yemen
1966,Yemen
1967,Yemen
1968,Yemen
1969,Yemen
1970,Yemen
1980,Yemen
1981,Yemen
1982,Yemen
1949,Taiwan
1950,China
1950,Taiwan
1954,China
1954,Taiwan
1958,China
1958,Taiwan
1949,Guatemala
1954,Guatemala
1965,Guatemala
1966,Guatemala
1967,Guatemala
1968,Guatemala
1969,Guatemala
1970,Guatemala
1971,Guatemala
1972,Guatemala
1973,Guatemala
1974,Guatemala
1975,Guatemala
1976,Guatemala
1977,Guatemala
1978,Guatemala
1979,Guatemala
1980,Guatemala
1981,Guatemala
1982,Guatemala
1983,Guatemala
1984,Guatemala
1985,Guatemala
1986,Guatemala
1987,Guatemala
1988,Guatemala
1989,Guatemala
1990,Guatemala
1991,Guatemala
1992,Guatemala
1993,Guatemala
1994,Guatemala
1995,Guatemala
1950,Israel
1951,Israel
1952,Israel
1953,Israel
1954,Israel
1955,Israel
1956,Israel
1957,Israel
1958,Israel
1959,Israel
1960,Israel
1961,Israel
1962,Israel
1963,Israel
1964,Israel
1965,Israel
1966,Israel
1967,Israel
1968,Israel
1969,Israel
1970,Israel
1971,Israel
1972,Israel
1973,Israel
1974,Israel
1975,Israel
1976,Israel
1977,Israel
1978,Israel
1979,Israel
1980,Israel
1981,Israel
1982,Israel
1983,Israel
1984,Israel
1985,Israel
1986,Israel
1987,Israel
1988,Israel
1989,Israel
1990,Israel
1991,Israel
1992,Israel
1993,Israel
1994,Israel
1995,Israel
1996,Israel
1997,Israel
1998,Israel
1999,Israel
2000,Israel
2001,Israel
2002,Israel
2003,Israel
2004,Israel
2005,Israel
1949,Democratic People's Republic of Korea
1950,Democratic People's Republic of Korea
1951,Democratic People's Republic of Korea
1951,Republic of Korea
1972,Viet Nam
1973,Viet Nam
1974,Viet Nam
1975,Viet Nam
1966,Cambodia
1966,Thailand
1977,Cambodia
1977,Thailand
1978,Cambodia
1978,Thailand
1966,Ghana
1981,Ghana
1983,Ghana
1966,India
1966,Nigeria
1966,South Africa
1967,South Africa
1968,South Africa
1969,South Africa
1970,South Africa
1971,South Africa
1972,South Africa
1973,South Africa
1974,South Africa
1975,South Africa
1976,South Africa
1977,South Africa
1978,South Africa
1979,South Africa
1980,South Africa
1981,South Africa
1982,South Africa
1983,South Africa
1984,South Africa
1985,South Africa
