year,country,christianity,judaism,islam,buddhism,hindu,shinto,confus_tao,code,gdp,un_region,conflict_present,hdi,population,religious_population,religious_share
1990,United States,214425162,5508504,2294757,1575481,323352,59724,106818,USA,5963144000000.0,Northern America,0.0,0.88,249623000.0,224293798.0,0.8985301755046611
1995,United States,215593975,5259463,2425377,1608346,574269,57972,62455,USA,7639749000000.0,Northern America,0.0,0.89,266278000.0,225581857.0,0.8471667092287009
2000,United States,219818305,5010424,2555997,2449569,825186,56220,18093,USA,10250947997000.0,Northern America,0.0,0.89,282162411.0,230733794.0,0.8177339893796131
2005,United States,226464805,5536622,2685374,3682694,1311442,60560,90593,USA,13039199193000.0,Northern America,0.0,0.91,295516599.0,239832090.0,0.8115689298386924
2010,United States,233111307,5942248,2814750,3410236,1797698,156375,95752,USA,15048964444000.0,Northern America,0.0,0.92,309378227.0,247328366.0,0.7994368847423772
1990,Canada,24346000,350000,250000,500000,155000,0,280000,CAN,596075591360.987,Northern America,0.0,0.86,27691138.0,25881000.0,0.9346311444477291
1995,Canada,24958842,361880,125000,250000,170941,272,141722,CAN,605961090061.207,Northern America,0.0,0.88,29302311.0,26008657.0,0.8875974662885805
2000,Canada,25571687,373762,280323,360000,186882,545,3445,CAN,744773415931.587,Northern America,0.0,0.89,30685730.0,26776644.0,0.8726089944739787
2005,Canada,26057640,341229,646000,605000,193800,565,3572,CAN,1173108598778.68,Northern America,0.0,0.91,32242732.0,27847806.0,0.8636925059576217
2010,Canada,26431104,340304,670000,670000,275000,915,6940,CAN,1617343367486.26,Northern America,0.0,0.91,34005902.0,28394263.0,0.8349804395719308
1990,Cuba,7680210,1000,8000,6000,21000,0,20000,CUB,28645436569.1489,Latin America and the Caribbean,0.0,0.68,10631799.0,7736210.0,0.7276482559536726
1995,Cuba,8524160,1020,8160,6120,21420,0,20400,CUB,30429803651.2192,Latin America and the Caribbean,0.0,0.66,10925362.0,8581280.0,0.7854458277904202
2000,Cuba,8100650,500,8500,0,0,0,0,CUB,30565400000.0,Latin America and the Caribbean,0.0,0.69,11109109.0,8109650.0,0.7300000387069746
2005,Cuba,7520095,1200,7200,0,11000,0,21501,CUB,42643836100.0,Latin America and the Caribbean,0.0,0.75,11262554.0,7560996.0,0.6713393782618046
2010,Cuba,7407107,1500,8000,0,25000,0,0,CUB,59562962962.963,Latin America and the Caribbean,0.0,0.78,11297409.0,7441607.0,0.6587003267740418
1990,Haiti,5934500,160,1660,0,0,0,180,HTI,3096289800.0,Latin America and the Caribbean,0.0,0.44,6854441.0,5936500.0,0.8660808372265514
1995,Haiti,6621510,129,830,0,0,0,90,HTI,2813313278.81082,Latin America and the Caribbean,0.0,0.47,7562546.0,6622559.0,0.8757049543896989
2000,Haiti,7377600,98,0,0,0,0,0,HTI,6813566098.8675,Latin America and the Caribbean,0.0,0.48,8303151.0,7377698.0,0.8885419523262915
2005,Haiti,7998500,500,2000,0,0,0,0,HTI,7030149730.33692,Latin America and the Caribbean,0.0,0.52,9061273.0,8001000.0,0.8829885160727416
2010,Haiti,8003882,120,1750,0,0,0,0,HTI,11859312725.1448,Latin America and the Caribbean,0.0,0.45,9803294.0,8005752.0,0.8166389786943041
1990,Dominican Republic,6044752,0,1600,1470,0,0,5000,DOM,7073675544.79021,Latin America and the Caribbean,0.0,0.58,7151166.0,6052822.0,0.8464105014482953
1995,Dominican Republic,6098300,0,0,0,0,0,0,DOM,16637370839.1608,Latin America and the Caribbean,0.0,0.62,7888115.0,6098300.0,0.7730997836618761
2000,Dominican Republic,6526613,100,1873,1533,0,0,6580,DOM,24305780628.6677,Latin America and the Caribbean,0.0,0.65,8584190.0,6536699.0,0.7614811647924848
2005,Dominican Republic,7484946,100,2083,1705,0,0,7315,DOM,35777560683.9366,Latin America and the Caribbean,0.0,0.68,9225034.0,7496149.0,0.812587682603663
2010,Dominican Republic,8662283,100,0,0,0,0,0,DOM,53801053352.5005,Latin America and the Caribbean,0.0,0.71,9820175.0,8662383.0,0.8821006753952959
1990,Jamaica,1701798,600,3000,300,27100,0,6200,JAM,4592208086.69235,Latin America and the Caribbean,0.0,0.66,2379877.0,1738998.0,0.7307091921137101
1995,Jamaica,1754579,555,3078,308,28916,0,6636,JAM,6577520642.82297,Latin America and the Caribbean,0.0,0.66,2500151.0,1794072.0,0.7175854578383466
2000,Jamaica,1807362,511,3156,316,30733,0,7073,JAM,9005064474.93003,Latin America and the Caribbean,0.0,0.66,2607826.0,1849151.0,0.7090775995024208
2005,Jamaica,1890680,521,2334,319,23347,0,3536,JAM,11243865777.7131,Latin America and the Caribbean,0.0,0.69,2687066.0,1920737.0,0.7148082704332532
2010,Jamaica,1974000,531,1513,322,15961,0,0,JAM,13220549908.2494,Latin America and the Caribbean,0.0,0.71,2748568.0,1992327.0,0.7248599998253636
1990,Barbados,177173,30,1079,100,800,0,0,BRB,2012131457.26644,Latin America and the Caribbean,0.0,0.73,258582.0,179182.0,0.6929407305999644
1995,Barbados,183005,31,1885,104,859,0,0,BRB,2216974096.35559,Latin America and the Caribbean,0.0,0.74,262039.0,185884.0,0.7093753219940543
2000,Barbados,188838,32,1782,108,918,0,0,BRB,3059500000.0,Latin America and the Caribbean,0.0,0.76,262063.0,191678.0,0.731419544155413
2005,Barbados,187296,31,2041,114,1059,0,0,BRB,3819500000.0,Latin America and the Caribbean,0.0,0.78,268706.0,190541.0,0.70910586291337
2010,Barbados,185756,30,2300,120,1200,0,0,BRB,5672900000.0,Latin America and the Caribbean,0.0,0.79,275243.0,189406.0,0.6881410244765535
1990,Dominica,69480,0,0,90,140,0,0,DMA,201429629.62963,Latin America and the Caribbean,0.0,0.72,69627.0,69627.0,1.0
1995,Dominica,69050,0,69,46,140,0,0,DMA,274522222.222222,Latin America and the Caribbean,0.0,,69469.0,69305.0,0.9976392347665866
2000,Dominica,60965,0,139,92,141,0,0,DMA,333470370.37037,Latin America and the Caribbean,0.0,0.72,68511.0,61337.0,0.8952868882369255
2005,Dominica,64061,0,0,88,68,0,0,DMA,391455555.555556,Latin America and the Caribbean,0.0,0.73,68734.0,64217.0,0.934282887653854
2010,Dominica,67160,0,0,0,0,0,0,DMA,519859259.259259,Latin America and the Caribbean,0.0,0.74,68859.0,67160.0,0.9753263916118445
1990,Grenada,75257,0,0,0,0,0,0,GRD,278098762.962963,Latin America and the Caribbean,0.0,0.74,99957.0,75257.0,0.7528937443100533
1995,Grenada,77438,0,152,0,318,0,0,GRD,342172518.518519,Latin America and the Caribbean,0.0,,103869.0,77908.0,0.7500601719473567
2000,Grenada,76726,0,167,0,123,0,0,GRD,520044370.37037,Latin America and the Caribbean,0.0,0.74,107451.0,77016.0,0.7167546137309099
2005,Grenada,96820,0,500,0,250,0,0,GRD,695555555.555555,Latin America and the Caribbean,0.0,0.76,109734.0,97570.0,0.8891501266699473
2010,Grenada,94323,0,526,0,263,0,0,GRD,771014814.814815,Latin America and the Caribbean,0.0,0.78,111586.0,95112.0,0.852364992024089
1990,Mexico,80606800,105000,0,0,5400,0,0,MEX,261253675692.838,Latin America and the Caribbean,0.0,0.67,82820170.0,80717200.0,0.9746079970615854
1995,Mexico,87909596,61000,128584,11470,5705,0,5043,MEX,380157469866.849,Latin America and the Caribbean,0.0,0.68,90862455.0,88121398.0,0.9698328974272157
2000,Mexico,95812392,122001,257168,22940,6010,0,10086,MEX,742061329749.127,Latin America and the Caribbean,0.0,0.71,98625552.0,96230597.0,0.9757166885109043
2005,Mexico,97293942,128646,206112,24190,9465,0,10635,MEX,917571853529.104,Latin America and the Caribbean,0.0,0.74,105811504.0,97672990.0,0.9230847904779805
2010,Mexico,108811290,67476,3760,0,0,0,0,MEX,1105424238731.09,Latin America and the Caribbean,0.0,0.75,113623895.0,108882526.0,0.9582713741682592
1990,Belize,163920,2100,1000,600,4000,0,0,BLZ,546750912.28848,Latin America and the Caribbean,0.0,0.61,183076.0,171620.0,0.9374248945793004
1995,Belize,186321,1300,1194,721,4768,0,0,BLZ,818590250.0,Latin America and the Caribbean,0.0,0.65,204146.0,194304.0,0.951789405621467
2000,Belize,192222,0,243,0,367,0,0,BLZ,1138138100.0,Latin America and the Caribbean,0.0,0.66,240799.0,192832.0,0.8008006677768595
2005,Belize,208096,0,410,378,489,0,0,BLZ,1474298400.0,Latin America and the Caribbean,0.0,0.7,279731.0,209373.0,0.748479789512067
2010,Belize,223972,0,577,757,612,0,0,BLZ,1748988400.0,Latin America and the Caribbean,0.0,0.72,320245.0,225918.0,0.7054536370591266
1990,Guatemala,8511300,950,800,1600,0,0,3100,GTM,7650196845.21546,Latin America and the Caribbean,1.0,0.49,9024773.0,8517750.0,0.9438187531143443
1995,Guatemala,9576225,644,655,1390,0,0,0,GTM,14655404433.2771,Latin America and the Caribbean,1.0,0.52,10312996.0,9578914.0,0.9288197144651273
2000,Guatemala,11045250,1014,911,1981,0,0,3684,GTM,19288929030.0508,Latin America and the Caribbean,0.0,0.55,11697592.0,11052840.0,0.944881647436498
2005,Guatemala,12065950,1000,1100,2000,0,0,4000,GTM,26783389293.922,Latin America and the Caribbean,0.0,0.58,13087629.0,12074050.0,0.9225544214311088
2010,Guatemala,13133239,2000,2000,0,0,0,0,GTM,40676578423.4871,Latin America and the Caribbean,0.0,0.61,14500112.0,13137239.0,0.9060094846163946
1990,Honduras,4919650,290,6000,2500,0,0,400,HND,3734460116.73152,Latin America and the Caribbean,0.0,0.51,4980488.0,4928840.0,0.989629931846036
1995,Honduras,5624825,145,3000,1250,0,0,200,HND,4672346193.95203,Latin America and the Caribbean,0.0,0.54,5739637.0,5629420.0,0.9807972176637652
2000,Honduras,6330000,0,0,0,0,0,0,HND,7186638029.05875,Latin America and the Caribbean,0.0,0.55,6577773.0,6330000.0,0.96233178007207
2005,Honduras,6587486,357,10010,3854,0,0,482,HND,9757012696.56212,Latin America and the Caribbean,0.0,0.58,7478355.0,6602189.0,0.8828397421625478
2010,Honduras,7121814,397,397,0,0,0,0,HND,15839344591.9842,Latin America and the Caribbean,0.0,0.6,8365878.0,7122608.0,0.8513879834250512
1990,El Salvador,4865340,500,1550,540,0,0,700,SLV,4817542204.0,Latin America and the Caribbean,1.0,0.52,5399726.0,4868630.0,0.9016438982274286
1995,El Salvador,5288450,282,1656,301,0,0,741,SLV,8921947100.0,Latin America and the Caribbean,0.0,0.57,5762131.0,5291430.0,0.9183112983720779
2000,El Salvador,5711560,565,1763,602,0,0,783,SLV,11784927700.0,Latin America and the Caribbean,0.0,0.61,5943366.0,5715273.0,0.9616222524407886
2005,El Salvador,5803034,282,0,0,0,0,0,SLV,14698000000.0,Latin America and the Caribbean,0.0,0.64,6005578.0,5803316.0,0.9663209769317791
2010,El Salvador,6209779,648,2027,0,0,0,0,SLV,18447920000.0,Latin America and the Caribbean,0.0,0.66,6068249.0,6068249.0,1.0
1990,Nicaragua,3716900,400,710,4200,0,0,1700,NIC,1009455483.87097,Latin America and the Caribbean,0.0,0.49,4162559.0,3723910.0,0.8946203525283365
1995,Nicaragua,4307600,248,786,5017,0,0,1991,NIC,4140470000.0,Latin America and the Caribbean,0.0,0.55,4642931.0,4315642.0,0.9295081059787449
2000,Nicaragua,4898300,497,863,5835,0,0,2283,NIC,5109587049.97449,Latin America and the Caribbean,0.0,0.56,5022633.0,4907778.0,0.9771325119713107
2005,Nicaragua,4907725,0,1500,0,0,0,0,NIC,6321324279.14826,Latin America and the Caribbean,0.0,0.63,5342105.0,4909225.0,0.9189682718703582
2010,Nicaragua,5242544,0,1602,0,0,0,0,NIC,8758602232.98358,Latin America and the Caribbean,0.0,0.61,5737450.0,5244146.0,0.9140203400465363
1990,Costa Rica,2620600,3800,0,2000,80,0,0,CRI,5711687786.75989,Latin America and the Caribbean,0.0,0.66,3121706.0,2626480.0,0.8413604612349785
1995,Costa Rica,3097950,4170,0,2171,100,0,0,CRI,11578594259.8675,Latin America and the Caribbean,0.0,0.71,3535176.0,3104391.0,0.8781432664172872
2000,Costa Rica,3771380,4540,0,2343,121,0,0,CRI,15013629661.8969,Latin America and the Caribbean,0.0,0.71,3937739.0,3778384.0,0.9595313452719949
2005,Costa Rica,4057108,2687,0,1135,519,0,0,CRI,20040642476.9817,Latin America and the Caribbean,0.0,0.75,4261240.0,4061449.0,0.9531143516910571
2010,Costa Rica,3925741,3800,0,1200,558,0,0,CRI,37658616951.8038,Latin America and the Caribbean,0.0,0.77,4555962.0,3931299.0,0.8628910864489212
1990,Panama,2292500,1133,35000,12200,2666,0,1200,PAN,6433967000.0,Latin America and the Caribbean,0.0,0.67,2455583.0,2344699.0,0.9548441245928156
1995,Panama,2552070,3400,11666,0,0,0,0,PAN,9573813700.0,Latin America and the Caribbean,0.0,0.69,2724557.0,2567136.0,0.9422214326952969
2000,Panama,2773500,3778,12655,2033,9138,0,0,PAN,11966497048.6488,Latin America and the Caribbean,0.0,0.72,3010369.0,2801104.0,0.9304852660919641
2005,Panama,3161160,5000,10000,12315,450,0,0,PAN,16623906739.3121,Latin America and the Caribbean,0.0,0.75,3313026.0,3188925.0,0.9625414952976523
2010,Panama,4166894,6590,13181,16233,593,0,0,PAN,30231009532.9507,Latin America and the Caribbean,0.0,0.78,3628535.0,3628535.0,1.0
