index,Year,Christianity - Protestants (Population),Christianity - Roman Catholics (Population),Christianity - Eastern Orthodox (Population),Christianity - Anglican (Population),Christianity - Others (Population),Christianity - Total (Population),Judaism - Orthodox (Population),Judaism - Conservatives (Population),Judaism - Reform (Population),Judaism - Others (Population),Judaism - Total (Population),Islam - Sunni (Population),Islam - Shi'a (Population),Islam - Ibadhi (Population),Islam - Nation of Islam (Population),Islam - Alawite (Population),Islam - Ahmadiyya (Population),Islam - Others (Population),Islam - Total (Population),Buddhism - Mahayana (Population),Buddhism - Theravada (Population),Buddhism - Others (Population),Buddhism - Total (Population),Zoroastrian - Total (Population),Hindu - Total (Population),Sike - Total (Population),Shinto - Total (Population),Baha'i - Total (Population),Taoism - Total (Population),Confucianism - Total (Population),Jain - Total (Population),Syncretic Religions - Total (Population),Animist - Total (Population),Non Religious - Total (Population),Other Religions - Total (Population),Total Religious - Total (Population),Population - Total (Population),Christianity - Protestants (Percent),Christianity - Roman Catholics (Percent),Christianity - Eastern Orthodox (Percent),Christianity - Anglican (Percent),Christianity - Others (Percent),Christianity - Total (Percent),Judaism - Orthodox (Percent),Judaism - Conservatives (Percent),Judaism - Reform (Percent),Judaism - Others (Percent),Judaism - Total (Percent),Islam - Sunni (Percent),Islam - Shi'a (Percent),Islam - Ibadhi (Percent),Islam - Nation of Islam (Percent),Islam - Alawite (Percent),Islam - Ahmadiyya (Percent),Islam - Others (Percent),Islam - Total (Percent),Buddhism - Mahayana (Percent),Buddhism - Theravada (Percent),Buddhism - Others (Percent),Buddhism - Total (Percent),Zoroastrian - Total (Percent),Hindu - Total (Percent),Sike - Total (Percent),Shinto - Total (Percent),Baha'i - Total (Percent),Taoism - Total (Percent),Confucianism - Total (Percent),Jain - Total (Percent),Syncretic Religions - Total (Percent),Animist - Total (Percent),Non Religious - Total (Percent),Other Religions - Total (Percent),Total Religious - Total (Percent),StateNme
0,1945,66069671,38716742,1121898,2400000,1956807,110265118,821489,1364508,1902885.0,552300,4641182,0,0,0,0,0,0,0.0,0,0,0,1601218,1601218,0,0,0,0,0,0,0,0,0,0,22874544,545938,139382062,139928000,0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635,0.0039,0.9961,United States of America
1,1950,73090083,42635882,3045420,3045420,1177214,122994019,1078078,1790706,2497244.0,724809,6090837,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22568130,618022,151652986,152271008,0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1482,0.0041,0.9959,United States of America
2,1955,79294628,46402368,3454916,2572767,2277091,134001770,944000,1568000,2186666.0,634666,5333332,0,0,0,0,0,0,0.0,0,0,0,90173,90173,0,0,0,0,0,0,0,0,0,0,23303540,3202185,162728815,165931000,0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404,0.0193,0.9807,United States of America
3,1960,90692928,50587880,3334535,2710065,2908939,150234347,973500,1617000,2255000.0,654500,5500000,0,0,0,0,0,0,0.0,0,0,0,2012131,2012131,0,0,0,0,0,0,0,0,0,0,21548225,1376297,179294703,180671000,0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193,0.0076,0.9924,United States of America
4,1965,94165803,64761783,4792868,2822149,973155,167515758,991200,1646400,2296000.0,666400,5600000,0,0,0,0,0,0,0.0,0,0,0,1080892,1080892,0,0,0,0,0,0,0,0,0,0,19852362,581988,194049012,194631000,0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.003,0.997,United States of America
5,1970,93918347,69119143,5498914,3030647,1300000,172867051,1088550,1808100,2521500.0,731850,6150000,0,0,0,0,0,0,0.0,0,0,0,1113861,1113861,0,0,0,0,90247,0,0,0,0,0,20474592,10249,200695751,200706000,0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0055,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.102,0.0001,0.9999,United States of America
6,1975,93578909,77181399,6651649,3239145,2159430,182810532,1185900,1969800,2747000.0,797300,6700000,0,0,0,0,0,0,0.0,0,0,0,1019556,1019556,0,159778,1597,0,220494,0,0,0,0,0,24789671,241372,215701628,215943000,0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0047,0.0,0.0007,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.1148,0.0011,0.9989,United States of America
7,1980,101216516,75149580,4677202,3576566,2030000,186649864,1284843,2134146,2976190.0,863821,7259000,2407464,254121,0,0,0,4975,0.0,2666560,0,0,1357967,1357967,0,995149,0,0,0,89563,0,0,0,59708,26813635,1834554,225891446,227726000,0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0.0,0,0.0,0.0,0.0,0.0117,0.0,0.0,0.006,0.006,0.0,0.0044,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0003,0.1177,0.0081,0.9919,United States of America
8,1985,107309700,82463100,5245662,3576990,1192330,199787782,1352280,2146160,3132400.0,879160,7510000,2186675,298183,0,0,0,0,0.0,2484858,0,0,1984325,1984325,0,1005000,0,0,0,0,0,0,0,0,25396899,297136,238168864,238466000,0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0.0,0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0083,0.0083,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065,0.0012,0.9988,United States of America
9,1990,132040181,65530789,6715078,4334627,5804487,214425162,975005,1619500,2258487.0,655512,5508504,2019386,275371,0,0,0,0,0.0,2294757,0,0,1575481,1575481,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,249744836,249907000,0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0.0,0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0063,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0.0,0.0,0.0,0.0003,0.0977,0.0006,0.9994,United States of America
10,1995,123669458,70308695,6639161,4476661,10500000,215593975,930925,1546282,2156380.0,625876,5259463,2134332,291045,0,0,0,0,0.0,2425377,0,0,1608346,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000,0.4707,0.2676,0.0253,0.017,0.04,0.8205,0.0035,0.0059,0.0082,0.0024,0.02,0.0081,0.0011,0.0,0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0061,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0.0,0.0001,0.001,0.0008,0.1312,0.0026,0.9974,United States of America
