level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
0,9,1990,214425162,5508504,2294757,1575481,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,249744836,249907000,0.858,0.022,0.0092,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0.0,0.0,0.0,0.0003,0.0977,0.0006,0.9994,United States,Northern America,Northern America
1,10,1995,215593975,5259463,2425377,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000,0.8205,0.02,0.0092,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0.0,0.0001,0.001,0.0008,0.1312,0.0026,0.9974,United States,Northern America,Northern America
2,11,2000,219818305,5010424,2555997,2449569,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,278248108,278357000,0.7897,0.018,0.0092,0.0088,0.0053,0.003,0.0003,0.0002,0.0016,0.0,0.0,0.0003,0.0019,0.0013,0.16,0.0004,0.9996,United States,Northern America,Northern America
3,12,2005,226464805,5536622,2685374,3682694,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,295720819,295896000,0.7654,0.0187,0.0091,0.0124,0.0053,0.0044,0.0009,0.0002,0.0015,0.0,0.0003,0.0003,0.0023,0.0036,0.175,0.0006,0.9994,United States,Northern America,Northern America
4,13,2010,233111307,5942248,2814750,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0.7454,0.019,0.009,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.9975,United States,Northern America,Northern America
5,23,1990,24346000,350000,250000,500000,10200,155000,240000,0,0,280000,0,0,0,9000,1545500,15300,27685700,27701000,0.8789,0.0126,0.009,0.018,0.0004,0.0056,0.0087,0.0,0.0,0.0101,0.0,0.0,0.0,0.0003,0.0558,0.0006,0.9994,Canada,Northern America,Northern America
6,24,1995,24958842,361880,125000,250000,7577,170941,197867,272,9010,141722,0,1230,0,36487,2772795,320377,29033623,29354000,0.8503,0.0123,0.0043,0.0085,0.0003,0.0058,0.0067,0.0,0.0003,0.0048,0.0,0.0,0.0,0.0012,0.0945,0.0109,0.9891,Canada,Northern America,Northern America
7,25,2000,25571687,373762,280323,360000,4955,186882,155735,545,18020,3445,0,2460,0,63975,4000090,125121,31021879,31147000,0.821,0.012,0.009,0.0116,0.0002,0.006,0.005,0.0,0.0006,0.0001,0.0,0.0001,0.0,0.0021,0.1284,0.004,0.996,Canada,Northern America,Northern America
8,26,2005,26057640,341229,646000,605000,5138,193800,161500,565,18687,3572,0,2551,0,66343,4100000,97975,32202025,32300000,0.8067,0.0106,0.02,0.0187,0.0002,0.006,0.005,0.0,0.0006,0.0001,0.0,0.0001,0.0,0.0021,0.1269,0.003,0.997,Canada,Northern America,Northern America
9,27,2010,26431104,340304,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0.7661,0.0099,0.0194,0.0194,0.0002,0.008,0.008,0.0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.999,Canada,Northern America,Northern America
10,31,1990,209670,400,0,0,0,0,0,0,500,0,0,0,75,0,5225,39130,215870,255000,0.8222,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0003,0.0,0.0205,0.1535,0.8465,Bahamas,Latin America and the Caribbean,Caribbean
11,32,1995,253645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30355,253645,284000,0.8931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1069,0.8931,Bahamas,Latin America and the Caribbean,Caribbean
12,33,2000,297045,300,0,0,0,0,0,0,0,92,0,0,0,1000,8917,146,307354,307500,0.966,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0033,0.029,0.0005,0.9995,Bahamas,Latin America and the Caribbean,Caribbean
13,34,2005,313950,317,0,0,0,0,0,0,0,97,0,0,0,1056,9425,155,324845,325000,0.966,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.029,0.0005,0.9995,Bahamas,Latin America and the Caribbean,Caribbean
14,35,2010,302657,305,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0.966,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0032,0.029,0.0005,0.9995,Bahamas,Latin America and the Caribbean,Caribbean
15,110,1990,6044752,0,1600,1470,0,0,0,0,5000,5000,0,0,0,0,781672,266620,6839494,7106114,0.8506,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.11,0.0375,0.9625,Dominican Republic,Latin America and the Caribbean,Caribbean
16,111,1990,6044752,0,1600,1470,0,0,0,0,5000,5000,0,0,0,0,781672,266620,6839494,7106114,0.8506,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.11,0.0375,0.9625,Dominican Republic,Latin America and the Caribbean,Caribbean
17,112,1995,6098300,0,0,0,0,0,0,0,5000,0,0,0,0,0,788700,278000,6892000,7170000,0.8505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.11,0.0388,0.9612,Dominican Republic,Latin America and the Caribbean,Caribbean
18,113,1995,6098300,0,0,0,0,0,0,0,5000,0,0,0,0,0,788700,278000,6892000,7170000,0.8505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.11,0.0388,0.9612,Dominican Republic,Latin America and the Caribbean,Caribbean
19,114,2000,6526613,100,1873,1533,0,0,0,0,0,6580,0,0,0,0,1652307,72530,8189006,8261536,0.79,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.2,0.0088,0.9912,Dominican Republic,Latin America and the Caribbean,Caribbean
20,115,2000,6526613,100,1873,1533,0,0,0,0,0,6580,0,0,0,0,1652307,72530,8189006,8261536,0.79,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.2,0.0088,0.9912,Dominican Republic,Latin America and the Caribbean,Caribbean
21,116,2005,7484946,100,2083,1705,0,0,0,0,0,7315,0,0,0,0,1653117,34718,9149266,9183984,0.815,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.18,0.0038,0.9962,Dominican Republic,Latin America and the Caribbean,Caribbean
22,117,2005,7484946,100,2083,1705,0,0,0,0,0,7315,0,0,0,0,1653117,34718,9149266,9183984,0.815,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.18,0.0038,0.9962,Dominican Republic,Latin America and the Caribbean,Caribbean
23,118,2010,8662283,100,0,0,0,0,0,0,0,0,0,0,0,0,1194797,99468,9857180,9956648,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.99,Dominican Republic,Latin America and the Caribbean,Caribbean
