,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop
0,1990,United States,5963144000000.0,Northern America,0.875,0.0,Christianity,214425162
1,1995,United States,7639749000000.0,Northern America,0.0,0.0,Christianity,215593975
2,2000,United States,10250947997000.0,Northern America,0.894,0.0,Christianity,219818305
3,2005,United States,13039199193000.0,Northern America,0.0,0.0,Christianity,226464805
4,2010,United States,15048964444000.0,Northern America,0.916,0.0,Christianity,233111307
5,1990,Canada,596075591360.987,Northern America,0.861,0.0,Christianity,24346000
6,1995,Canada,605961090061.207,Northern America,0.0,0.0,Christianity,24958842
7,2000,Canada,744773415931.587,Northern America,0.89,0.0,Christianity,25571687
8,2005,Canada,1173108598778.68,Northern America,0.0,0.0,Christianity,26057640
9,2010,Canada,1617343367486.26,Northern America,0.911,0.0,Christianity,26431104
10,1990,Bahamas,3166000000.0,Latin America and the Caribbean,0.76,0.0,Christianity,209670
11,1995,Bahamas,3429000000.0,Latin America and the Caribbean,0.0,0.0,Christianity,253645
12,2000,Bahamas,8076470000.0,Latin America and the Caribbean,0.788,0.0,Christianity,297045
13,2005,Bahamas,9836200000.0,Latin America and the Caribbean,0.0,0.0,Christianity,313950
14,2010,Bahamas,10095760000.0,Latin America and the Caribbean,0.8,0.0,Christianity,302657
15,1990,Cuba,28645436569.1489,Latin America and the Caribbean,0.684,0.0,Christianity,7680210
16,1995,Cuba,30429803651.2192,Latin America and the Caribbean,0.0,0.0,Christianity,8524160
17,2000,Cuba,30565400000.0,Latin America and the Caribbean,0.694,0.0,Christianity,8100650
18,2005,Cuba,42643836100.0,Latin America and the Caribbean,0.0,0.0,Christianity,7520095
19,2010,Cuba,59562962962.963,Latin America and the Caribbean,0.779,0.0,Christianity,7407107
20,1990,Haiti,3096289800.0,Latin America and the Caribbean,0.441,0.0,Christianity,5934500
21,1995,Haiti,2813313278.81082,Latin America and the Caribbean,0.0,0.0,Christianity,6621510
22,2000,Haiti,6813566098.8675,Latin America and the Caribbean,0.485,0.0,Christianity,7377600
23,2005,Haiti,7030149730.33692,Latin America and the Caribbean,0.0,0.0,Christianity,7998500
24,2010,Haiti,11859312725.1448,Latin America and the Caribbean,0.449,0.0,Christianity,8003882
25,1990,Dominican Republic,7073675544.79021,Latin America and the Caribbean,0.579,0.0,Christianity,6044752
26,1995,Dominican Republic,16637370839.1608,Latin America and the Caribbean,0.0,0.0,Christianity,6098300
27,2000,Dominican Republic,24305780628.6677,Latin America and the Caribbean,0.646,0.0,Christianity,6526613
28,2005,Dominican Republic,35777560683.9366,Latin America and the Caribbean,0.0,0.0,Christianity,7484946
29,2010,Dominican Republic,53801053352.5005,Latin America and the Caribbean,0.707,0.0,Christianity,8662283
30,1990,Jamaica,4592208086.69235,Latin America and the Caribbean,0.664,0.0,Christianity,1701798
31,1995,Jamaica,6577520642.82297,Latin America and the Caribbean,0.0,0.0,Christianity,1754579
32,2000,Jamaica,9005064474.93003,Latin America and the Caribbean,0.657,0.0,Christianity,1807362
33,2005,Jamaica,11243865777.7131,Latin America and the Caribbean,0.0,0.0,Christianity,1890680
34,2010,Jamaica,13220549908.2494,Latin America and the Caribbean,0.711,0.0,Christianity,1974000
35,1990,Trinidad And Tobago,5068000000.0,Latin America and the Caribbean,0.656,1.0,Christianity,760400
