hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,avg_growth_1990_2022
1.0,Switzerland,0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967,0.4038198701805
2.0,Norway,0.845,0.914,0.938,0.952,0.961,0.963,0.964,0.966,0.41908573988827
3.0,Iceland,0.834,0.895,0.927,0.948,0.958,0.955,0.957,0.959,0.437383970323757
5.0,Denmark,0.839,0.89,0.913,0.936,0.946,0.946,0.947,0.952,0.395637864420317
5.0,Sweden,0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952,0.513824876283819
7.0,Germany,0.828,0.89,0.929,0.941,0.951,0.948,0.948,0.95,0.430451386349473
7.0,Ireland,0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95,0.770975389487694
9.0,Singapore,0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949,0.614740819736714
10.0,Australia,0.864,0.896,0.924,0.933,0.941,0.948,0.949,0.946,0.283744921806584
10.0,Netherlands,0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946,0.346040700695061
12.0,Belgium,0.814,0.884,0.913,0.924,0.936,0.93,0.938,0.942,0.457433386186934
12.0,Finland,0.811,0.887,0.912,0.93,0.939,0.939,0.941,0.942,0.469025310422255
12.0,Liechtenstein,,0.871,0.916,0.926,0.94,0.933,0.936,0.942,
15.0,United Kingdom,0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94,0.489571397737332
16.0,New Zealand,0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939,0.455142450632584
17.0,United Arab Emirates,0.717,0.79,0.828,0.86,0.933,0.93,0.931,0.937,0.839779787823391
18.0,Canada,0.861,0.89,0.911,0.927,0.932,0.928,0.934,0.935,0.257994812997597
20.0,Luxembourg,0.793,0.864,0.912,0.914,0.925,0.921,0.927,0.927,0.489099530737058
20.0,United States,0.875,0.894,0.916,0.924,0.933,0.923,0.921,0.927,0.180568075694554
22.0,Austria,0.823,0.87,0.903,0.91,0.92,0.916,0.92,0.926,0.369173629481434
22.0,Slovenia,,0.823,0.89,0.903,0.918,0.91,0.916,0.926,
24.0,Japan,0.846,0.883,0.903,0.913,0.918,0.917,0.92,0.92,0.262388357387455
25.0,Israel,0.781,0.835,0.887,0.899,0.909,0.906,0.911,0.915,0.496066717651966
25.0,Malta,0.726,0.779,0.862,0.887,0.905,0.901,0.912,0.915,0.725664181557129
27.0,Spain,0.762,0.828,0.868,0.889,0.904,0.894,0.904,0.911,0.559673922688164
28.0,France,0.79,0.844,0.88,0.893,0.905,0.9,0.906,0.91,0.4428892873233
29.0,Cyprus,0.733,0.797,0.859,0.874,0.901,0.9,0.901,0.907,0.667834976902304
30.0,Italy,0.78,0.842,0.88,0.881,0.899,0.892,0.899,0.906,0.469050948545924
31.0,Estonia,0.741,0.798,0.864,0.883,0.893,0.891,0.89,0.899,0.605835332317839
32.0,Czechia,0.748,0.81,0.872,0.891,0.896,0.891,0.891,0.895,0.562264620658648
33.0,Greece,0.762,0.818,0.874,0.881,0.89,0.887,0.887,0.893,0.496980952599868
34.0,Bahrain,0.733,0.775,0.807,0.859,0.888,0.884,0.884,0.888,0.60125671381368
35.0,Andorra,,0.815,0.863,0.856,0.865,0.843,0.855,0.884,
36.0,Poland,0.715,0.794,0.845,0.869,0.88,0.874,0.876,0.881,0.654555044344796
37.0,Latvia,0.732,0.761,0.827,0.853,0.873,0.873,0.865,0.879,0.57352710435381
37.0,Lithuania,0.74,0.769,0.846,0.865,0.886,0.88,0.875,0.879,0.539370365961656
39.0,Croatia,,0.764,0.824,0.844,0.866,0.86,0.867,0.878,
40.0,Qatar,0.764,0.793,0.829,0.852,0.869,0.863,0.864,0.875,0.424825138130447
40.0,Saudi Arabia,0.699,0.746,0.805,0.842,0.862,0.861,0.867,0.875,0.704259399735885
42.0,Portugal,0.703,0.793,0.831,0.85,0.864,0.861,0.865,0.874,0.682705770192893
43.0,San Marino,0.841,0.875,0.901,0.872,0.861,0.844,0.853,0.867,0.0951931449646448
44.0,Chile,0.705,0.763,0.813,0.846,0.859,0.849,0.856,0.86,0.622978069158164
45.0,Slovakia,,0.761,0.841,0.852,0.863,0.86,0.852,0.855,
47.0,Hungary,0.721,0.773,0.829,0.839,0.854,0.849,0.846,0.851,0.519384748160245
48.0,Argentina,0.724,0.78,0.834,0.85,0.853,0.841,0.844,0.849,0.498952498897287
49.0,Kuwait,0.698,0.78,0.811,0.829,0.838,0.826,0.836,0.847,0.606461551246174
50.0,Montenegro,,,0.806,0.827,0.841,0.832,0.84,0.844,
51.0,Saint Kitts and Nevis,,,0.79,0.829,0.838,0.832,0.832,0.838,
52.0,Uruguay,0.702,0.754,0.785,0.807,0.818,0.82,0.814,0.83,0.524785628520341
53.0,Romania,0.709,0.721,0.813,0.813,0.834,0.828,0.825,0.827,0.482250253049399
54.0,Antigua and Barbuda,,,0.808,0.818,0.831,0.82,0.819,0.826,
55.0,Brunei Darussalam,0.779,0.789,0.825,0.832,0.827,0.827,0.824,0.823,0.171851103822096
56.0,Russian Federation,0.741,0.733,0.797,0.823,0.839,0.826,0.818,0.821,0.32089653709737
57.0,Bahamas,0.76,0.788,0.8,0.807,0.802,0.798,0.799,0.82,0.237738109252139
57.0,Panama,0.672,0.722,0.775,0.802,0.82,0.809,0.813,0.82,0.623957303099276
59.0,Oman,,0.702,0.798,0.824,0.841,0.823,0.81,0.819,
60.0,Georgia,,0.694,0.763,0.798,0.816,0.807,0.809,0.814,
60.0,Trinidad and Tobago,0.656,0.708,0.785,0.812,0.813,0.815,0.804,0.814,0.676652697753055
62.0,Barbados,0.728,0.76,0.792,0.798,0.806,0.803,0.803,0.809,0.330224885181507
63.0,Malaysia,0.649,0.726,0.768,0.792,0.805,0.802,0.798,0.807,0.683232681049084
64.0,Costa Rica,0.659,0.709,0.769,0.792,0.811,0.811,0.804,0.806,0.631234591053209
65.0,Serbia,,0.689,0.768,0.794,0.812,0.806,0.804,0.805,
66.0,Thailand,0.581,0.663,0.743,0.789,0.801,0.8,0.797,0.803,1.01639290359983
67.0,Kazakhstan,0.672,0.68,0.766,0.799,0.81,0.806,0.801,0.802,0.554187051909327
67.0,Seychelles,,0.755,0.774,0.797,0.808,0.799,0.795,0.802,
69.0,Belarus,,0.708,0.79,0.809,0.81,0.8,0.801,0.801,
70.0,Bulgaria,0.698,0.723,0.79,0.809,0.813,0.802,0.796,0.799,0.423211279634894
71.0,Palau,,0.747,0.775,0.782,0.792,0.794,0.802,0.797,
72.0,Mauritius,0.62,0.682,0.755,0.791,0.806,0.792,0.79,0.796,0.78393085992523
73.0,Grenada,,,0.779,0.786,0.79,0.786,0.788,0.793,
74.0,Albania,0.649,0.678,0.766,0.797,0.8,0.784,0.785,0.789,0.612284357225401
75.0,China,0.482,0.586,0.698,0.741,0.775,0.781,0.785,0.788,1.54796492850309
76.0,Armenia,0.658,0.656,0.739,0.769,0.789,0.769,0.774,0.786,0.557020186434398
77.0,Mexico,0.666,0.709,0.747,0.769,0.781,0.757,0.757,0.781,0.499008041460391
78.0,Iran (Islamic Republic of),0.613,0.692,0.756,0.782,0.785,0.779,0.776,0.78,0.755744516030998
78.0,Sri Lanka,0.641,0.689,0.735,0.76,0.775,0.777,0.783,0.78,0.615211143928418
80.0,Bosnia and Herzegovina,,0.656,0.718,0.757,0.78,0.776,0.776,0.779,
81.0,Saint Vincent and the Grenadines,,0.691,0.756,0.777,0.789,0.785,0.773,0.772,
82.0,Dominican Republic,0.579,0.646,0.707,0.739,0.765,0.76,0.756,0.766,0.878460049466656
83.0,Ecuador,0.645,0.684,0.736,0.764,0.758,0.734,0.746,0.765,0.53462880713695
85.0,Cuba,0.684,0.694,0.779,0.765,0.766,0.759,0.742,0.764,0.346253927302675
87.0,Maldives,,0.635,0.692,0.728,0.753,0.737,0.753,0.762,
87.0,Peru,0.62,0.675,0.725,0.758,0.774,0.758,0.755,0.762,0.646540726876577
