,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop,prop_relig
115,1990,Colombia,47844090709.9908,Southern America,0.614,1.0,Christianity,30980000,0.9987732949040962
116,1995,Colombia,92507279383.0387,Southern America,0.0,1.0,Christianity,33756907,0.9998074838833652
117,2000,Colombia,99875074951.0278,Southern America,0.672,1.0,Christianity,39996945,0.9988087297256619
118,2005,Colombia,145600529605.803,Southern America,0.0,1.0,Christianity,41606496,0.9989867629949326
119,2010,Colombia,286498534094.963,Southern America,0.732,1.0,Christianity,44910647,0.9989868137419812
328,1990,Russian Federation,517014446227.929,Europe,0.741,1.0,Christianity,68566005,0.6821667016077348
329,1995,Russian Federation,395537185734.854,Europe,0.0,1.0,Christianity,32225158,0.6650840392769362
330,2000,Russian Federation,259710142196.943,Europe,0.733,1.0,Christianity,105985210,0.8217509465565909
331,2005,Russian Federation,764015973481.11,Europe,0.0,1.0,Christianity,103229800,0.8217509450592
332,2010,Russian Federation,1524916715223.95,Europe,0.797,1.0,Christianity,105697556,0.863728729105494
420,1990,Senegal,7390967360.42121,Africa,0.371,1.0,Christianity,400000,0.05875587375125407
421,1995,Senegal,6326342633.4034,Africa,0.0,1.0,Christianity,411998,0.053217050929223304
422,2000,Senegal,6013185003.97525,Africa,0.388,1.0,Christianity,377758,0.040922139627391635
423,2005,Senegal,11009033437.939,Africa,0.0,0.0,Christianity,433919,0.04095762840890781
424,2010,Senegal,16121315909.0758,Africa,0.47,0.0,Christianity,421345,0.03580112065167564
455,1990,Liberia,384400000.0,Africa,0.434,1.0,Christianity,866520,0.6666666666666666
456,1995,Liberia,134800000.0,Africa,0.0,1.0,Christianity,998800,0.6934184948625381
457,2000,Liberia,874000000.0,Africa,0.434,1.0,Christianity,1230057,0.6610164026574852
458,2005,Liberia,949000000.0,Africa,0.0,0.0,Christianity,2281310,0.8301498870116117
459,2010,Liberia,1998000000.0,Africa,0.46,0.0,Christianity,3542240,0.8830966020286412
495,1990,Chad,1738605557.76313,Africa,0.292,1.0,Christianity,1808050,0.40344282516413954
496,1995,Chad,1445919894.57661,Africa,0.0,0.0,Christianity,1955305,0.38162941074289997
497,2000,Chad,1388506771.58756,Africa,0.292,1.0,Christianity,2274495,0.35539439724071464
498,2005,Chad,8655892392.92919,Africa,0.0,1.0,Christianity,3306270,0.37409399085072054
499,2010,Chad,14058506663.7252,Africa,0.364,1.0,Christianity,3909470,0.38109667978850265
505,1990,Democratic Republic Of The Congo,9349764580.41173,Africa,0.377,0.0,Christianity,33302540,0.9851639122637932
